,出現カウント,敵ナンバー,x,y,z
,0,101,0,0,0
,100,3006,60,1,1
,110,3006,180,1,1
,120,3006,100,1,1
,130,3006,300,1,1
,140,3006,220,1,1
,150,3006,260,1,1
,160,3006,340,1,1
,170,3006,140,1,1
,180,3006,540,1,1
,190,3006,420,1,1
,200,3006,380,1,1
,210,3006,500,1,1
,220,3006,460,1,1
,230,3006,580,1,1
,400,3005,580,1,1
,410,3005,460,1,1
,420,3005,540,1,1
,430,3005,220,1,1
,440,3005,500,1,1
,450,3005,140,1,1
,460,3005,420,1,1
,470,3005,380,1,1
,480,3005,340,1,1
,490,3005,260,1,1
,500,3005,100,1,1
,510,3005,300,1,1
,520,3005,180,1,1
,530,3005,60,1,1
,550,3006,60,1,1
,560,3006,180,1,1
,570,3006,100,1,1
,580,3006,300,1,1
,590,3006,140,1,1
,600,3006,220,1,1
,610,3006,260,1,1
,620,3006,340,1,1
,630,3006,540,1,1
,640,3006,420,1,1
,650,3006,380,1,1
,660,3006,500,1,1
,670,3006,460,1,1
,680,3006,580,1,1
,950,3007,320,-20,200
,1200,3004,650,-10,200
,1220,3004,650,-10,200
,1240,3004,650,-10,200
,1260,3004,650,-10,200
,1280,3004,650,-10,200
,1300,3004,650,-10,200
,1320,3006,180,1,1
,1340,3006,100,1,1
,1360,3006,300,1,1
,1380,3006,140,1,1
